Linux 4.15.0-1027-gcp (instance-2) 	02/18/2019 	_x86_64_	(4 CPU)

06:11:56 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:11:57 AM     all     11.48      0.00      9.18      0.00      0.00     79.34
06:11:58 AM     all     11.08      0.00      7.73      0.00      0.00     81.19
06:11:59 AM     all      8.02      0.00      5.26      0.00      0.00     86.72
06:12:00 AM     all      9.25      0.00      7.71      0.00      0.00     83.03
06:12:01 AM     all     13.52      0.00      8.42      0.00      0.00     78.06
06:12:02 AM     all      8.21      0.00      3.85      0.26      0.00     87.69
06:12:03 AM     all      8.40      0.00      6.36      0.00      0.00     85.24
06:12:04 AM     all     14.43      0.00      8.25      0.00      0.00     77.32
06:12:05 AM     all      8.95      0.00      4.60      0.00      0.00     86.45
06:12:06 AM     all      7.14      0.00      5.10      0.00      0.00     87.76
Average:        all     10.04      0.00      6.64      0.03      0.00     83.29
